"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Nov 1987","7,037","6,980","7,330","6,190","4,05K","1,25%"
"Oct 1987","6,950","7,550","8,370","6,885","1,42K","-7,33%"
"Sep 1987","7,500","7,470","8,080","7,220","6,45K","1,58%"
"Ago 1987","7,383","8,665","8,800","7,230","12,16K","-11,05%"
"Jul 1987","8,300","7,220","8,299","7,160","5,64K","13,51%"
"Jun 1987","7,312","7,315","8,090","6,750","15,74K","-4,04%"
"May 1987","7,620","7,900","9,520","7,350","9,29K","-4,56%"
"Abr 1987","7,984","6,231","11,250","6,230","100,63K","29,13%"
"Mar 1987","6,183","5,420","6,390","5,410","5,91K","13,91%"
"Feb 1987","5,428","5,487","5,561","5,370","14,42K","-1,26%"
"Ene 1987","5,497","5,432","5,700","5,350","0,38K","1,80%"
"Dic 1986","5,400","5,460","5,515","5,270","6,14K","2,45%"
"Nov 1986","5,271","5,709","5,820","5,210","15,52K","-6,77%"
"Oct 1986","5,654","5,540","5,835","5,520","0,58K","1,53%"
"Sep 1986","5,569","5,440","6,020","5,155","7,78K","8,20%"
"Ago 1986","5,147","5,110","5,550","5,080","7,78K","0,96%"
"Jul 1986","5,098","5,085","5,160","4,960","7,63K","-0,08%"
"Jun 1986","5,102","5,150","5,440","4,930","14,16K","-2,61%"
"May 1986","5,239","5,110","5,270","4,850","11,46K","2,18%"
"Abr 1986","5,127","5,090","5,542","5,000","14,09K","-0,06%"
"Mar 1986","5,130","5,610","5,830","5,190","7,48K","-8,88%"
"Feb 1986","5,630","5,905","5,978","5,580","15,44K","-6,74%"
"Ene 1986","6,037","5,715","6,320","5,715","2,10K","3,62%"
"Dic 1985","5,826","6,100","6,120","5,700","15,03K","-4,26%"
"Nov 1985","6,085","6,125","6,280","6,025","15,18K","0,02%"
"Oct 1985","6,084","6,020","6,360","6,020","3,80K","1,18%"
"Sep 1985","6,013","6,140","6,210","5,880","6,47K","-3,64%"
"Ago 1985","6,240","6,180","6,405","6,110","14,46K","-0,70%"
"Jul 1985","6,284","6,085","6,390","5,800","9,98K","2,88%"
"Jun 1985","6,108","6,200","6,450","6,085","20,41K","-0,78%"
"May 1985","6,156","6,140","6,700","5,980","10,35K","-0,15%"
"Abr 1985","6,165","6,530","6,750","6,140","13,08K","-7,81%"
"Mar 1985","6,687","5,600","6,890","5,480","19,37K","18,88%"
"Feb 1985","5,625","6,200","6,332","5,535","17,69K","-11,45%"
"Ene 1985","6,352","6,180","6,415","5,820","1,46K","-0,49%"
"Dic 1984","6,383","6,980","7,165","6,245","8,97K","-9,06%"
"Nov 1984","7,019","7,320","7,840","6,950","32,80K","-2,82%"
"Oct 1984","7,223","7,528","7,603","7,100","2,24K","-3,44%"
"Sep 1984","7,480","7,190","7,730","6,980","11,63K","0,38%"
"Ago 1984","7,452","7,075","8,015","7,075","18,35K","6,18%"
"Jul 1984","7,018","8,290","8,320","6,850","8,51K","-16,25%"
"Jun 1984","8,380","9,420","9,540","8,270","28,61K","-9,51%"
"May 1984","9,261","8,970","9,370","8,560","7,09K","3,42%"
"Abr 1984","8,955","9,750","9,750","8,860","37,28K","-8,81%"
"Mar 1984","9,820","9,610","10,170","9,250","10,60K","1,66%"
"Feb 1984","9,660","8,763","9,910","8,600","37,64K","12,26%"
"Ene 1984","8,605","8,810","8,810","7,790","0,74K","-4,60%"
"Dic 1983","9,020","9,460","10,040","8,440","8,66K","-6,24%"
"Nov 1983","9,620","8,430","9,860","8,400","41,37K","14,52%"
"Oct 1983","8,400","10,250","10,620","8,380","7,57K","-22,94%"
"Sep 1983","10,900","12,230","12,450","10,720","14,10K","-9,92%"
"Ago 1983","12,100","11,800","12,830","11,490","12,89K","2,41%"
"Jul 1983","11,815","11,660","12,650","11,230","14,83K","2,01%"
"Jun 1983","11,582","11,975","12,700","10,900","65,54K","-10,22%"
"May 1983","12,900","12,020","13,710","11,970","8,95K","6,98%"
"Abr 1983","12,058","10,770","12,610","10,770","22,80K","12,88%"
"Mar 1983","10,682","10,820","11,450","10,020","39,69K","3,71%"
"Feb 1983","10,300","14,380","14,740","10,200","68,68K","-27,72%"
"Ene 1983","14,250","11,050","14,260","10,900","3,79K","30,38%"
"Dic 1982","10,930","10,110","11,300","10,020","12,52K","8,33%"
"Nov 1982","10,090","10,365","11,010","8,950","235,85K","0,00%"
"Oct 1982","10,090","8,415","10,700","8,020","250,55K","22,45%"
"Sep 1982","8,240","7,740","9,765","7,530","48,78K","4,70%"
"Ago 1982","7,870","6,970","8,280","6,210","8,05K","17,78%"
"Jul 1982","6,682","5,845","7,360","5,500","4,88K","10,98%"
"Jun 1982","6,021","6,160","6,300","4,780","126,29K","-4,35%"
"May 1982","6,295","6,925","6,950","6,280","15,58K","-8,24%"
"Abr 1982","6,860","7,225","7,720","6,500","106,95K","-5,12%"
"Mar 1982","7,230","7,760","7,930","6,850","23,01K","-6,63%"
"Feb 1982","7,743","8,085","8,755","7,730","10,91K","-2,44%"
"Ene 1982","7,937","7,990","8,400","7,750","1,65K","-2,31%"
"Dic 1981","8,125","8,030","9,050","7,970","38,53K","-0,98%"
"Nov 1981","8,205","9,225","9,260","7,970","9,56K","-10,33%"
"Oct 1981","9,150","9,350","9,710","8,940","1,54K","0,11%"
"Sep 1981","9,140","9,090","11,350","8,250","15,08K","-1,67%"
"Ago 1981","9,295","8,265","9,640","8,250","5,30K","9,10%"
"Jul 1981","8,520","8,585","9,160","8,190","4,13K","-0,41%"
"Jun 1981","8,555","10,755","10,870","8,400","9,28K","-20,27%"
"May 1981","10,730","11,165","11,500","10,250","3,23K","-3,25%"
"Abr 1981","11,090","12,085","12,350","10,800","7,47K","-6,77%"
"Mar 1981","11,895","11,590","13,500","11,280","8,94K","-2,30%"
"Feb 1981","12,175","12,930","14,120","12,120","7,37K","-8,11%"
"Ene 1981","13,250","15,150","16,530","12,650","6,13K","-15,55%"
"Dic 1980","15,690","19,010","19,020","13,370","19,64K","-15,60%"
"Nov 1980","18,590","19,440","20,100","17,320","15,22K","-1,64%"
"Oct 1980","18,900","21,675","21,990","18,300","12,72K","-8,78%"
"Sep 1980","20,720","16,380","25,000","16,230","23,46K","27,12%"
"Ago 1980","16,300","15,820","16,450","15,470","3,15K","5,81%"
"Jul 1980","15,405","16,975","17,490","15,050","5,00K","-7,23%"
"Jun 1980","16,605","14,850","17,900","14,250","12,37K","19,03%"
"May 1980","13,950","11,450","13,950","10,800","8,46K","11,60%"
"Abr 1980","12,500","15,675","17,500","12,500","20,87K","-11,97%"
"Mar 1980","14,200","34,850","37,250","10,800","62,62K","-59,77%"
"Feb 1980","35,300","34,400","39,800","27,800","9,42K","2,02%"
"Ene 1980","34,600","39,500","50,350","30,250","33,11K","0,44%"
